industry_name,skill_name,skill_count,rank
Apparel Manufacturing,Product Management,3,3
Apparel Manufacturing,Supply Chain,3,3
Apparel Manufacturing,Project Management,3,3
Apparel Manufacturing,Human Resources,2,7
Apparel Manufacturing,Design,2,7
Apparel Manufacturing,Accounting/Auditing,1,9
Apparel Manufacturing,Finance,1,9
Apparel Manufacturing,Other,1,9
Apparel Manufacturing,Business Development,1,9
Apparel Manufacturing,Strategy/Planning,1,9
Apparel Manufacturing,Art/Creative,1,9
Apparel Manufacturing,Management,1,9
Apparel Manufacturing,Administrative,1,9
Apparel Manufacturing,Consulting,1,9
"Appliances, Electrical, and Electronics Manufacturing",Manufacturing,379,1
"Appliances, Electrical, and Electronics Manufacturing",Engineering,346,2
"Appliances, Electrical, and Electronics Manufacturing",Information Technology,303,3
"Appliances, Electrical, and Electronics Manufacturing",Management,282,4
"Appliances, Electrical, and Electronics Manufacturing",Sales,157,5
"Appliances, Electrical, and Electronics Manufacturing",Other,120,6
"Appliances, Electrical, and Electronics Manufacturing",Business Development,120,6
"Appliances, Electrical, and Electronics Manufacturing",Accounting/Auditing,51,8
"Appliances, Electrical, and Electronics Manufacturing",Supply Chain,48,9
"Appliances, Electrical, and Electronics Manufacturing",Marketing,47,10
Architectural and Structural Metal Manufacturing,Engineering,4,1
Architectural and Structural Metal Manufacturing,Manufacturing,4,1
Architectural and Structural Metal Manufacturing,Management,4,1
Architectural and Structural Metal Manufacturing,Analyst,2,4
Architectural and Structural Metal Manufacturing,Information Technology,2,4
Architectural and Structural Metal Manufacturing,Project Management,2,4
Architectural and Structural Metal Manufacturing,Human Resources,2,4
Architectural and Structural Metal Manufacturing,Other,1,8
Architectural and Structural Metal Manufacturing,Design,1,8
Architectural and Structural Metal Manufacturing,Administrative,1,8
Architectural and Structural Metal Manufacturing,Supply Chain,1,8
Architecture and Planning,Information Technology,201,1
Architecture and Planning,Design,141,2
Architecture and Planning,Engineering,136,3
Architecture and Planning,Management,117,4
Architecture and Planning,Project Management,79,5
Architecture and Planning,Art/Creative,76,6
Architecture and Planning,Manufacturing,74,7
Architecture and Planning,Sales,39,8
Architecture and Planning,Consulting,36,9
Architecture and Planning,Other,34,10
Architecture and Planning,Accounting/Auditing,34,10
Armed Forces,Other,50,1
Armed Forces,Management,44,2
Armed Forces,Manufacturing,37,3
Armed Forces,Information Technology,19,4
Armed Forces,Business Development,17,5
Armed Forces,Sales,13,6
Armed Forces,Engineering,12,7
Armed Forces,Project Management,9,8
Armed Forces,Administrative,8,9
Armed Forces,Analyst,4,10
Artists and Writers,Writing/Editing,19,1
Artists and Writers,Information Technology,18,2
Artists and Writers,Art/Creative,18,2
Artists and Writers,Sales,2,4
Artists and Writers,Marketing,2,4
Artists and Writers,Administrative,1,6
Artists and Writers,Management,1,6
Artists and Writers,Business Development,1,6
Artists and Writers,Public Relations,1,6
Audio and Video Equipment Manufacturing,Other,5,1
Audio and Video Equipment Manufacturing,Sales,4,2
Audio and Video Equipment Manufacturing,Information Technology,4,2
Audio and Video Equipment Manufacturing,Manufacturing,2,4
Audio and Video Equipment Manufacturing,Quality Assurance,2,4
Audio and Video Equipment Manufacturing,Consulting,2,4
Audio and Video Equipment Manufacturing,Analyst,1,7
Audio and Video Equipment Manufacturing,Supply Chain,1,7
Audio and Video Equipment Manufacturing,Engineering,1,7
Audio and Video Equipment Manufacturing,Business Development,1,7
Audio and Video Equipment Manufacturing,Management,1,7
Audio and Video Equipment Manufacturing,Art/Creative,1,7
Audio and Video Equipment Manufacturing,Design,1,7
Audio and Video Equipment Manufacturing,Strategy/Planning,1,7
Audio and Video Equipment Manufacturing,Purchasing,1,7
Audio and Video Equipment Manufacturing,Marketing,1,7
Automation Machinery Manufacturing,Engineering,178,1
Automation Machinery Manufacturing,Manufacturing,132,2
Automation Machinery Manufacturing,Information Technology,106,3
Automation Machinery Manufacturing,Management,72,4
Automation Machinery Manufacturing,Sales,59,5
Automation Machinery Manufacturing,Business Development,46,6
Automation Machinery Manufacturing,Other,38,7
Automation Machinery Manufacturing,Project Management,29,8
Automation Machinery Manufacturing,Design,26,9
Automation Machinery Manufacturing,Quality Assurance,17,10
Automotive,Manufacturing,21,1
Automotive,Management,20,2
Automotive,Engineering,16,3
Automotive,Information Technology,15,4
Automotive,Sales,9,5
Automotive,Business Development,8,6
Automotive,Quality Assurance,7,7
Automotive,Customer Service,4,8
Automotive,Accounting/Auditing,3,9
Automotive,Finance,3,9
Automotive,Other,3,9
Automotive,Project Management,3,9
Aviation & Aerospace,Manufacturing,5,1
Aviation & Aerospace,Information Technology,4,2
Aviation & Aerospace,Engineering,3,3
Aviation & Aerospace,Management,3,3
Aviation & Aerospace,Quality Assurance,1,5
Aviation & Aerospace,Accounting/Auditing,1,5
Aviation & Aerospace,Writing/Editing,1,5
Aviation & Aerospace,Marketing,1,5
Aviation & Aerospace,Administrative,1,5
Aviation & Aerospace,Project Management,1,5
Aviation & Aerospace,Finance,1,5
Aviation & Aerospace,Public Relations,1,5
Aviation and Aerospace Component Manufacturing,Engineering,366,1
Aviation and Aerospace Component Manufacturing,Manufacturing,291,2
Aviation and Aerospace Component Manufacturing,Information Technology,270,3
Aviation and Aerospace Component Manufacturing,Management,213,4
Aviation and Aerospace Component Manufacturing,Other,89,5
Aviation and Aerospace Component Manufacturing,Quality Assurance,62,6
Aviation and Aerospace Component Manufacturing,Project Management,55,7
Aviation and Aerospace Component Manufacturing,Sales,54,8
Aviation and Aerospace Component Manufacturing,Business Development,50,9
Aviation and Aerospace Component Manufacturing,Supply Chain,42,10
Baked Goods Manufacturing,Manufacturing,3,1
Baked Goods Manufacturing,Management,1,2
Baked Goods Manufacturing,Training,1,2
Baked Goods Manufacturing,Quality Assurance,1,2
Baked Goods Manufacturing,Product Management,1,2
Baked Goods Manufacturing,Human Resources,1,2
Banking,Sales,1391,1
Banking,Finance,1381,2
Banking,Information Technology,708,3
Banking,Business Development,304,4
Banking,Engineering,216,5
Banking,Other,205,6
Banking,Accounting/Auditing,183,7
Banking,Analyst,167,8
Banking,Consulting,151,9
Banking,Management,120,10
"Bed-and-Breakfasts, Hostels, Homestays",Administrative,2,1
"Bed-and-Breakfasts, Hostels, Homestays",Management,1,2
Beverage Manufacturing,Sales,45,1
Beverage Manufacturing,Business Development,36,2
Beverage Manufacturing,Manufacturing,30,3
Beverage Manufacturing,Management,27,4
Beverage Manufacturing,Marketing,13,5
Beverage Manufacturing,Production,10,6
Beverage Manufacturing,Other,10,6
Beverage Manufacturing,Information Technology,9,8
Beverage Manufacturing,Engineering,7,9
Beverage Manufacturing,Quality Assurance,6,10
Biotechnology,Information Technology,28,1
Biotechnology,Analyst,22,2
Biotechnology,Research,21,3
Biotechnology,Management,7,4
Biotechnology,Manufacturing,7,4
Biotechnology,Sales,6,6
Biotechnology,Finance,5,7
Biotechnology,Supply Chain,4,8
Biotechnology,Purchasing,4,8
Biotechnology,Quality Assurance,3,10
Biotechnology,Business Development,3,10
Biotechnology,Human Resources,3,10
Biotechnology Research,Research,421,1
Biotechnology Research,Information Technology,364,2
Biotechnology Research,Sales,329,3
Biotechnology Research,Science,289,4
Biotechnology Research,Business Development,264,5
Biotechnology Research,Manufacturing,257,6
Biotechnology Research,Analyst,230,7
Biotechnology Research,Engineering,191,8
Biotechnology Research,Management,171,9
Biotechnology Research,Other,166,10
Blockchain Services,Business Development,2,1
Blockchain Services,Sales,1,2
Blockchain Services,Information Technology,1,2
Blockchain Services,Administrative,1,2
Blockchain Services,Art/Creative,1,2
Blockchain Services,Design,1,2
"Boilers, Tanks, and Shipping Container Manufacturing",Information Technology,1,1
"Boilers, Tanks, and Shipping Container Manufacturing",Customer Service,1,1
"Boilers, Tanks, and Shipping Container Manufacturing",Sales,1,1
"Boilers, Tanks, and Shipping Container Manufacturing",Engineering,1,1
"Boilers, Tanks, and Shipping Container Manufacturing",Business Development,1,1
"Boilers, Tanks, and Shipping Container Manufacturing",Product Management,1,1
Book and Periodical Publishing,Sales,127,1
Book and Periodical Publishing,Business Development,112,2
Book and Periodical Publishing,Advertising,101,3
Book and Periodical Publishing,Marketing,30,4
Book and Periodical Publishing,Writing/Editing,19,5
Book and Periodical Publishing,Information Technology,14,6
Book and Periodical Publishing,Manufacturing,13,7
Book and Periodical Publishing,Management,13,7
Book and Periodical Publishing,Public Relations,13,7
Book and Periodical Publishing,Distribution,11,10
Broadcast Media Production and Distribution,Marketing,82,1
Broadcast Media Production and Distribution,Writing/Editing,61,2
Broadcast Media Production and Distribution,Information Technology,56,3
Broadcast Media Production and Distribution,Public Relations,54,4
Broadcast Media Production and Distribution,Sales,52,5
Broadcast Media Production and Distribution,Business Development,37,6
Broadcast Media Production and Distribution,Other,27,7
Broadcast Media Production and Distribution,Finance,23,8
Broadcast Media Production and Distribution,Design,18,9
Broadcast Media Production and Distribution,Production,18,9
Building Construction,Project Management,85,1
Building Construction,Engineering,55,2
Building Construction,Management,40,3
Building Construction,Business Development,30,4
Building Construction,Sales,23,5
Building Construction,Strategy/Planning,16,6
Building Construction,Other,13,7
Building Construction,Administrative,12,8
Building Construction,Consulting,12,8
Building Construction,General Business,11,10
Building Construction,Design,11,10
Building Equipment Contractors,Product Management,1,1
Building Materials,Manufacturing,12,1
Building Materials,Management,11,2
Building Materials,Sales,10,3
Building Materials,Business Development,7,4
Building Materials,Marketing,3,5
Building Materials,Information Technology,3,5
Building Materials,Other,3,5
Building Materials,Supply Chain,2,8
Building Materials,Research,1,9
Building Materials,Quality Assurance,1,9
Building Materials,Engineering,1,9
Building Materials,Analyst,1,9
Building Materials,Purchasing,1,9
Building Materials,Public Relations,1,9
Building Materials,Product Management,1,9
Building Materials,Human Resources,1,9
Building Materials,Writing/Editing,1,9
Business Consulting and Services,Information Technology,470,1
Business Consulting and Services,Sales,380,2
Business Consulting and Services,Consulting,342,3
Business Consulting and Services,Business Development,287,4
Business Consulting and Services,Finance,256,5
Business Consulting and Services,Engineering,220,6
Business Consulting and Services,Management,218,7
Business Consulting and Services,Accounting/Auditing,214,8
Business Consulting and Services,Project Management,110,9
Business Consulting and Services,Manufacturing,105,10
Business Content,Management,96,1
Business Content,Manufacturing,90,2
Business Content,Sales,45,3
Business Content,Information Technology,37,4
Business Content,Other,31,5
Business Content,Health Care Provider,21,6
Business Content,Finance,21,6
Business Content,Business Development,20,8
Business Content,Administrative,16,9
Business Content,Accounting/Auditing,13,10
Business Intelligence Platforms,Sales,3,1
Business Intelligence Platforms,Business Development,2,2
Business Intelligence Platforms,Design,1,3
Business Intelligence Platforms,Management,1,3
Business Intelligence Platforms,Training,1,3
Business Intelligence Platforms,Customer Service,1,3
Business Intelligence Platforms,Information Technology,1,3
Business Intelligence Platforms,Education,1,3
Business Intelligence Platforms,Art/Creative,1,3
Capital Markets,Finance,87,1
Capital Markets,Information Technology,64,2
Capital Markets,Engineering,49,3
Capital Markets,Analyst,24,4
Capital Markets,Consulting,19,5
Capital Markets,Sales,18,6
Capital Markets,Accounting/Auditing,18,6
Capital Markets,Management,16,8
Capital Markets,Business Development,13,9
Capital Markets,Research,13,9
Caterers,Sales,2,1
Caterers,Administrative,2,1
Caterers,Quality Assurance,1,3
Caterers,Training,1,3
Caterers,Business Development,1,3
Chemical Manufacturing,Manufacturing,331,1
Chemical Manufacturing,Sales,231,2
Chemical Manufacturing,Management,215,3
Chemical Manufacturing,Engineering,178,4
Chemical Manufacturing,Information Technology,156,5
Chemical Manufacturing,Business Development,91,6
Chemical Manufacturing,Production,66,7
Chemical Manufacturing,Research,56,8
Chemical Manufacturing,Customer Service,56,8
Chemical Manufacturing,Other,52,10
Chemical Manufacturing,Supply Chain,52,10
Chemical Manufacturing,Marketing,52,10
Chemical Raw Materials Manufacturing,Manufacturing,10,1
Chemical Raw Materials Manufacturing,Engineering,10,1
Chemical Raw Materials Manufacturing,Production,7,3
Chemical Raw Materials Manufacturing,Science,4,4
Chemical Raw Materials Manufacturing,Business Development,4,4
Chemical Raw Materials Manufacturing,Research,4,4
Chemical Raw Materials Manufacturing,Management,3,7
Chemical Raw Materials Manufacturing,Sales,3,7
Chemical Raw Materials Manufacturing,Strategy/Planning,3,7
Chemical Raw Materials Manufacturing,Supply Chain,2,10
Chemical Raw Materials Manufacturing,Other,2,10
Chemical Raw Materials Manufacturing,Project Management,2,10
Chemical Raw Materials Manufacturing,Purchasing,2,10
Chemical Raw Materials Manufacturing,Information Technology,2,10
Civic and Social Organizations,Other,314,1
Civic and Social Organizations,Management,61,2
Civic and Social Organizations,Manufacturing,45,3
Civic and Social Organizations,Information Technology,43,4
Civic and Social Organizations,Sales,36,5
Civic and Social Organizations,Business Development,29,6
Civic and Social Organizations,Administrative,28,7
Civic and Social Organizations,Marketing,27,8
Civic and Social Organizations,Public Relations,22,9
Civic and Social Organizations,Training,19,10
Civic and Social Organizations,Writing/Editing,19,10
Civic and Social Organizations,Education,19,10
Civil Engineering,Engineering,661,1
Civil Engineering,Information Technology,440,2
Civil Engineering,Management,302,3
Civil Engineering,Project Management,198,4
Civil Engineering,Manufacturing,170,5
Civil Engineering,Design,126,6
Civil Engineering,Consulting,119,7
Civil Engineering,Other,102,8
Civil Engineering,Sales,61,9
Civil Engineering,Science,57,10
"Claims Adjusting, Actuarial Services",Management,2,1
"Claims Adjusting, Actuarial Services",Information Technology,2,1
"Claims Adjusting, Actuarial Services",Customer Service,2,1
"Claims Adjusting, Actuarial Services",Administrative,1,4
"Claims Adjusting, Actuarial Services",Accounting/Auditing,1,4
"Claims Adjusting, Actuarial Services",Analyst,1,4
"Claims Adjusting, Actuarial Services",Legal,1,4
"Claims Adjusting, Actuarial Services",Business Development,1,4
"Claims Adjusting, Actuarial Services",General Business,1,4
Climate Data and Analytics,Engineering,4,1
Climate Data and Analytics,Information Technology,3,2
Climate Data and Analytics,Quality Assurance,2,3
Climate Data and Analytics,Other,1,4
Climate Data and Analytics,Manufacturing,1,4
Climate Data and Analytics,Science,1,4
Climate Data and Analytics,Administrative,1,4
Climate Data and Analytics,General Business,1,4
Climate Data and Analytics,Product Management,1,4
Climate Data and Analytics,Consulting,1,4
Climate Data and Analytics,Accounting/Auditing,1,4
Climate Data and Analytics,Analyst,1,4
Climate Technology Product Manufacturing,Engineering,6,1
Climate Technology Product Manufacturing,Information Technology,4,2
Climate Technology Product Manufacturing,Strategy/Planning,2,3
Climate Technology Product Manufacturing,Manufacturing,1,4
Climate Technology Product Manufacturing,Finance,1,4
Climate Technology Product Manufacturing,Quality Assurance,1,4
Climate Technology Product Manufacturing,Business Development,1,4
Climate Technology Product Manufacturing,Management,1,4
Climate Technology Product Manufacturing,Other,1,4
Collection Agencies,Information Technology,1,1
Commercial Real Estate,Sales,4,1
Commercial Real Estate,Management,4,1
Commercial Real Estate,Business Development,1,3
Commercial Real Estate,Manufacturing,1,3
Commercial Real Estate,Writing/Editing,1,3
Commercial Real Estate,Public Relations,1,3
Commercial Real Estate,Information Technology,1,3
Commercial Real Estate,Marketing,1,3
Commercial Real Estate,Other,1,3
Commercial Real Estate,General Business,1,3
Commercial and Industrial Equipment Rental,Information Technology,3,1
Commercial and Industrial Equipment Rental,Engineering,2,2
Commercial and Industrial Equipment Rental,Sales,1,3
Commercial and Industrial Equipment Rental,Administrative,1,3
Commercial and Industrial Equipment Rental,Business Development,1,3
Commercial and Service Industry Machinery Manufacturing,Engineering,8,1
Commercial and Service Industry Machinery Manufacturing,Sales,8,1
Commercial and Service Industry Machinery Manufacturing,Accounting/Auditing,6,3
Commercial and Service Industry Machinery Manufacturing,Administrative,5,4
Commercial and Service Industry Machinery Manufacturing,Project Management,4,5
Commercial and Service Industry Machinery Manufacturing,Finance,4,5
Commercial and Service Industry Machinery Manufacturing,Business Development,3,7
Commercial and Service Industry Machinery Manufacturing,Production,3,7
Commercial and Service Industry Machinery Manufacturing,Manufacturing,3,7
Commercial and Service Industry Machinery Manufacturing,Human Resources,2,10
Commercial and Service Industry Machinery Manufacturing,Other,2,10
Commercial and Service Industry Machinery Manufacturing,Strategy/Planning,2,10
Commercial and Service Industry Machinery Manufacturing,Design,2,10
Commercial and Service Industry Machinery Manufacturing,Management,2,10
Communications Equipment Manufacturing,Sales,3,1
Communications Equipment Manufacturing,Business Development,2,2
Communications Equipment Manufacturing,Project Management,1,3
Communications Equipment Manufacturing,Advertising,1,3
Communications Equipment Manufacturing,Design,1,3
Communications Equipment Manufacturing,Engineering,1,3
Community Development and Urban Planning,Strategy/Planning,6,1
Community Development and Urban Planning,Project Management,5,2
Community Development and Urban Planning,Accounting/Auditing,4,3
Community Development and Urban Planning,Analyst,4,3
Community Development and Urban Planning,Finance,4,3
Community Development and Urban Planning,Design,3,6
Community Development and Urban Planning,Business Development,3,6
Community Development and Urban Planning,Engineering,3,6
Community Development and Urban Planning,Other,2,9
Community Development and Urban Planning,Customer Service,1,10
Community Development and Urban Planning,Sales,1,10
Community Development and Urban Planning,Management,1,10
Community Development and Urban Planning,Manufacturing,1,10
Community Development and Urban Planning,Training,1,10
Community Development and Urban Planning,Legal,1,10
Community Development and Urban Planning,Consulting,1,10
Community Services,Other,3,1
Community Services,Management,2,2
Community Services,Finance,2,2
Community Services,Design,1,4
Community Services,Marketing,1,4
Community Services,Information Technology,1,4
Community Services,Business Development,1,4
Community Services,Advertising,1,4
Community Services,Training,1,4
Community Services,Legal,1,4
Community Services,Strategy/Planning,1,4
Computer Games,Information Technology,43,1
Computer Games,Engineering,36,2
Computer Games,Art/Creative,19,3
Computer Games,Design,14,4
Computer Games,Sales,14,4
Computer Games,Marketing,11,6
Computer Games,Business Development,9,7
Computer Games,Management,5,8
Computer Games,Other,4,9
Computer Games,Manufacturing,4,9
Computer Hardware,Information Technology,6,1
Computer Hardware,Engineering,5,2
Computer Hardware,Manufacturing,1,3
Computer Hardware,Analyst,1,3
Computer Hardware,Business Development,1,3
Computer Hardware,Management,1,3
Computer Hardware Manufacturing,Information Technology,148,1
Computer Hardware Manufacturing,Engineering,140,2
Computer Hardware Manufacturing,Other,61,3
Computer Hardware Manufacturing,Sales,43,4
Computer Hardware Manufacturing,Manufacturing,32,5
Computer Hardware Manufacturing,Management,27,6
Computer Hardware Manufacturing,Business Development,23,7
Computer Hardware Manufacturing,Design,17,8
Computer Hardware Manufacturing,Marketing,13,9
Computer Hardware Manufacturing,Project Management,9,10
Computer Hardware Manufacturing,Finance,9,10
Computer Networking,Engineering,4,1
Computer Networking,Information Technology,3,2
Computer Networking,Training,1,3
Computer Networking,Accounting/Auditing,1,3
Computer Networking,Marketing,1,3
Computer Networking,Project Management,1,3
Computer Networking,Other,1,3
Computer Networking,Product Management,1,3
Computer Networking,Education,1,3
Computer Networking,Finance,1,3
Computer Networking,Production,1,3
Computer Networking Products,Information Technology,58,1
Computer Networking Products,Engineering,25,2
Computer Networking Products,Sales,16,3
Computer Networking Products,Marketing,13,4
Computer Networking Products,Other,11,5
Computer Networking Products,Management,8,6
Computer Networking Products,Consulting,5,7
Computer Networking Products,Business Development,5,7
Computer Networking Products,Product Management,4,9
Computer Networking Products,Administrative,3,10
Computer Networking Products,Project Management,3,10
Computer and Network Security,Engineering,316,1
Computer and Network Security,Analyst,288,2
Computer and Network Security,Research,270,3
Computer and Network Security,Information Technology,252,4
Computer and Network Security,Sales,156,5
Computer and Network Security,Business Development,106,6
Computer and Network Security,Management,94,7
Computer and Network Security,General Business,79,8
Computer and Network Security,Writing/Editing,63,9
Computer and Network Security,Marketing,60,10
Computers and Electronics Manufacturing,Engineering,102,1
Computers and Electronics Manufacturing,Information Technology,77,2
Computers and Electronics Manufacturing,Manufacturing,39,3
Computers and Electronics Manufacturing,Sales,36,4
Computers and Electronics Manufacturing,Business Development,32,5
Computers and Electronics Manufacturing,Marketing,26,6
Computers and Electronics Manufacturing,Management,24,7
Computers and Electronics Manufacturing,Product Management,21,8
Computers and Electronics Manufacturing,Project Management,21,8
Computers and Electronics Manufacturing,Other,17,10
Conservation Programs,Strategy/Planning,2,1
Conservation Programs,Information Technology,1,2
Conservation Programs,Art/Creative,1,2
Conservation Programs,Design,1,2
Construction,Management,1120,1
Construction,Manufacturing,912,2
Construction,Project Management,677,3
Construction,Information Technology,611,4
Construction,Engineering,534,5
Construction,Sales,389,6
Construction,Business Development,298,7
Construction,Other,233,8
Construction,Accounting/Auditing,222,9
Construction,Finance,195,10
Construction Hardware Manufacturing,Project Management,4,1
Construction Hardware Manufacturing,Engineering,3,2
Construction Hardware Manufacturing,Manufacturing,3,2
Construction Hardware Manufacturing,Sales,3,2
Construction Hardware Manufacturing,Business Development,2,5
Construction Hardware Manufacturing,Management,1,6
Construction Hardware Manufacturing,Finance,1,6
Construction Hardware Manufacturing,Administrative,1,6
